Quarter Ended,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,+43 Quarters
EPS (Diluted),1.28,0.20,-0.10,0.21,0.07,0.03,-0.05,0.47,0.56,0.50,0.27,1.15,2.85,0.11,-0.30,-0.12,0.11,0.49,0.46,0.13,0.39,0.46,0.28,0.14,0.06,-,0.13,-0.05,0.33,0.06,-0.04,-0.04,-,0.01,-0.10,-0.06,-0.10,-0.16,-0.20,-0.21,Upgrade
EPS Growth,1728.57%,566.67%,-,-55.32%,-87.50%,-94.00%,-,-59.13%,-80.35%,354.55%,-,-,2490.91%,-77.55%,-,-,-71.79%,6.52%,64.29%,-7.14%,550.00%,-,115.38%,-,-81.82%,-,-,-,-,500.00%,-,-,-,-,-,-,-,-,-,-,Upgrade
Free Cash Flow,628,"4,248","2,570",115,131,"3,497","1,815",238,173,"3,057","2,025",215,315,"1,536","1,496",128,258,"1,806","1,164",7,288,"1,344",914,14,203,"1,073",561.93,13.66,154.65,967.76,401.74,209.54,242.83,356.49,243.1,126.39,175.32,442.99,201.39,65.16,Upgrade
Free Cash Flow Per Share,0.64,4.33,2.61,0.12,0.13,3.53,1.84,0.24,0.18,3.32,2.21,0.24,0.35,1.71,1.68,0.15,0.33,2.34,1.52,0.01,0.39,1.84,1.26,0.02,0.28,1.52,0.80,0.02,0.23,1.43,0.60,0.32,0.37,0.55,0.38,0.20,0.28,0.72,0.33,0.11,Upgrade
Gross Margin,75.44%,74.23%,74.95%,73.36%,72.45%,72.41%,72.51%,73.13%,74.56%,73.92%,74.57%,74.28%,74.55%,74.22%,74.85%,74.87%,75.81%,75.54%,73.74%,73.79%,74.12%,74.48%,74.24%,73.57%,74.00%,72.84%,73.24%,72.70%,74.19%,74.07%,75.48%,75.25%,75.20%,74.73%,75.36%,75.92%,76.65%,76.17%,76.12%,75.08%,Upgrade
Operating Margin,17.16%,5.00%,4.26%,5.87%,2.50%,0.27%,-2.40%,0.55%,5.24%,5.94%,3.32%,4.13%,3.46%,-2.88%,-0.74%,1.44%,1.45%,5.62%,3.80%,2.71%,3.51%,6.35%,7.36%,5.74%,3.26%,0.17%,5.58%,0.14%,1.60%,2.71%,1.14%,3.81%,1.21%,2.06%,-2.41%,-0.46%,-2.54%,-4.51%,-9.06%,-9.10%,Upgrade
Profit Margin,14.73%,2.41%,-1.17%,2.68%,0.88%,0.38%,-0.38%,6.82%,8.44%,7.87%,4.59%,19.95%,50.96%,2.03%,-5.11%,-2.42%,2.28%,10.49%,10.05%,3.10%,9.11%,11.44%,7.19%,3.96%,1.79%,0.04%,3.93%,-1.74%,11.27%,2.02%,-1.41%,-1.47%,-0.05%,0.27%,-4.55%,-2.81%,-4.63%,-7.90%,-10.18%,-11.56%,Upgrade
Free Cash Flow Margin,7.30%,51.51%,30.65%,1.47%,1.70%,47.19%,24.77%,3.47%,2.73%,51.27%,34.81%,3.97%,6.12%,31.57%,30.84%,2.84%,6.45%,48.33%,32.31%,0.21%,8.78%,44.71%,31.90%,0.52%,7.88%,44.76%,24.02%,0.64%,7.59%,50.49%,22.20%,12.24%,14.85%,23.59%,16.83%,9.13%,13.30%,36.11%,17.58%,6.06%,Upgrade
Effective Tax Rate,15.08%,38.96%,396.97%,55.79%,62.43%,-,-,-56.52%,35.23%,22.35%,37.18%,13.52%,-212.87%,-110.64%,-,270.31%,44.51%,18.67%,-51.46%,17.97%,-29.44%,10.65%,6.79%,26.71%,26.98%,-,29.37%,-,-845.61%,-4.32%,-,157.98%,112.24%,77.36%,-,-,-,-,-,-,Upgrade
EBITDA,"2,382","1,580","1,065","1,416","1,088",877,734,"1,262","1,545","1,289","1,294","1,920","1,488",705,629,672,621,919,514,385,484,582,375,355,277,197,335,178.71,194.35,191.94,147.23,195.88,156.73,162.68,81.32,107.79,72.94,46.4,14.41,13.24,Upgrade
EBITDA Margin,27.69%,19.16%,12.70%,18.07%,14.09%,11.83%,10.02%,18.39%,24.37%,21.62%,22.25%,35.43%,28.89%,14.49%,12.97%,14.89%,15.54%,24.59%,14.27%,11.35%,14.75%,19.36%,13.09%,13.14%,10.75%,8.22%,14.32%,8.33%,9.54%,10.01%,8.14%,11.44%,9.59%,10.76%,5.63%,7.79%,5.53%,3.78%,1.26%,1.23%,Upgrade
Depreciation & Amortization,890,"1,254","1,032",941,907,906,931,963,719,685,869,670,649,658,633,608,457,437,275,257,253,197,219,188,192,185,180.52,169.35,149.36,132.77,131.91,134.24,131.68,127.93,117.94,111.95,107.6,110.81,114.81,114.35,Upgrade
EBIT,"1,492",326,33,475,181,-29,-197,299,826,604,425,"1,250",839,47,-4,64,164,482,239,128,231,385,156,167,85,12,154.48,9.36,44.99,59.17,15.32,61.64,25.05,34.75,-36.62,-4.17,-34.66,-64.41,-100.4,-101.11,Upgrade
EBIT Margin,17.34%,3.95%,0.39%,6.06%,2.34%,-0.39%,-2.69%,4.36%,13.03%,10.13%,7.31%,23.07%,16.29%,0.97%,-0.08%,1.42%,4.10%,12.90%,6.63%,3.77%,7.04%,12.81%,5.45%,6.18%,3.30%,0.50%,6.60%,0.44%,2.21%,3.09%,0.85%,3.60%,1.53%,2.30%,-2.53%,-0.30%,-2.63%,-5.25%,-8.77%,-9.40%,Upgrade
